# plik lowl lowE chi_eff_sq As ns tau
3.411771e+03 6.560548e+01 3.997816e+02 3.877158e+03 2.14644810 0.96272203 0.07916436
2.683889e+03 6.732211e+01 3.984221e+02 3.149634e+03 2.20398944 0.97380167 0.07557575
4.389038e+03 5.369500e+01 4.007793e+02 4.843512e+03 2.31813109 0.96581621 0.07999526
6.166694e+03 6.952586e+01 3.987015e+02 6.634922e+03 2.06322079 0.95694618 0.07636830
2.687736e+03 6.630359e+01 3.991411e+02 3.153180e+03 2.18328745 0.96909936 0.07763453
3.276613e+03 6.864779e+01 3.990425e+02 3.744304e+03 2.24995905 0.98114254 0.07783284
2.886878e+03 6.192533e+01 3.993016e+02 3.348105e+03 2.16974116 0.96106283 0.07721579
2.672224e+03 6.310460e+01 3.996471e+02 3.134975e+03 2.22113969 0.96933222 0.07868024
2.666276e+03 5.999855e+01 3.998971e+02 3.126171e+03 2.22413799 0.96497992 0.07875065
3.350813e+03 5.571539e+01 4.002872e+02 3.806816e+03 2.27802572 0.96469716 0.07910528
3.998366e+03 6.141190e+01 3.998039e+02 4.459582e+03 2.13067515 0.95464222 0.07856826
7.343285e+04 2.000000e+30 3.970629e+02 2.000000e+30 1.55093567 0.95851776 0.07512311
1.172828e+04 4.467419e+01 4.006460e+02 1.217360e+04 2.24723797 0.94550306 0.03235671
5.467914e+03 5.151876e+01 3.988155e+02 5.918248e+03 2.32167270 0.96302097 0.07413449
2.663920e+03 6.645394e+01 3.996039e+02 3.129978e+03 2.21577283 0.97333715 0.07898079
2.689452e+03 6.896771e+01 3.995198e+02 3.157940e+03 2.21657144 0.97680734 0.07918150
3.048278e+03 6.861540e+01 3.993849e+02 3.516278e+03 2.15604824 0.96830057 0.07848281
3.193186e+03 5.422304e+01 3.993934e+02 3.646803e+03 2.26164355 0.96050140 0.07632316
4.101621e+03 2.000000e+30 3.981894e+02 2.000000e+30 2.22424097 1.02350992 0.07956857
4.547062e+03 6.040985e+01 3.997810e+02 5.007253e+03 2.11634602 0.95122073 0.07826363
4.412579e+03 5.542310e+01 3.981548e+02 4.866157e+03 2.28519537 0.96636177 0.07280191
2.964958e+03 7.107560e+01 3.987459e+02 3.434780e+03 2.15147692 0.97128535 0.07687488
4.885531e+03 5.197532e+01 3.969249e+02 5.334431e+03 2.19115314 0.95448221 0.04639811
2.751057e+03 6.426329e+01 3.963516e+02 3.211672e+03 2.07632443 0.95889253 0.05127053
2.672002e+03 6.688401e+01 3.991031e+02 3.137990e+03 2.21120631 0.97364617 0.07766510
2.763100e+03 6.925699e+01 3.997373e+02 3.232094e+03 2.22782786 0.97849930 0.07995772
2.841796e+03 6.461882e+01 3.995685e+02 3.305983e+03 2.17397970 0.96525846 0.07850594
3.636562e+03 6.093904e+01 3.988466e+02 4.096347e+03 2.26727136 0.97267107 0.07596927
2.636975e+03 6.381936e+01 3.990930e+02 3.099888e+03 2.20436358 0.96853617 0.07708146
3.378726e+03 7.141319e+01 3.982015e+02 3.848340e+03 2.12439960 0.96842457 0.07504290
9.108283e+03 5.087153e+01 3.958311e+02 9.554986e+03 2.30324713 0.96302931 0.05602883
2.673934e+03 6.961204e+01 3.987744e+02 3.142321e+03 2.20404220 0.97653688 0.07696289
2.639033e+03 6.771788e+01 3.978222e+02 3.104573e+03 2.17620177 0.97112551 0.07348543
2.700923e+03 7.861250e+01 3.976857e+02 3.177222e+03 2.15803345 0.98212663 0.07405289
3.388227e+03 6.159697e+01 3.975944e+02 3.847418e+03 2.23953606 0.97111973 0.07168231
2.634810e+03 6.433213e+01 3.976823e+02 3.096825e+03 2.18049704 0.96724533 0.07235243
2.664786e+03 6.845892e+01 3.976811e+02 3.130926e+03 2.18892269 0.97395080 0.07310146
3.687403e+03 7.295675e+01 3.976290e+02 4.157988e+03 2.10435356 0.96804153 0.07316859
2.671079e+03 6.362616e+01 3.976784e+02 3.132384e+03 2.16849731 0.96462606 0.07224433
2.820885e+03 6.437999e+01 3.977397e+02 3.283005e+03 2.15235007 0.96345083 0.07254463
2.684016e+03 6.059902e+01 3.975514e+02 3.142166e+03 2.16840559 0.96027900 0.07129332
4.540650e+03 7.411538e+01 3.977535e+02 5.012519e+03 2.08071036 0.96599286 0.07352443
3.059152e+03 7.680618e+01 3.974031e+02 3.533361e+03 2.12417664 0.97562320 0.07277032
2.648801e+03 6.167559e+01 3.976475e+02 3.108124e+03 2.17627873 0.96284378 0.07190586
2.641230e+03 6.195041e+01 3.976544e+02 3.100835e+03 2.17936080 0.96365600 0.07198031
2.650571e+03 5.928162e+01 3.975581e+02 3.107410e+03 2.18542996 0.96050102 0.07113404
3.699518e+03 5.307300e+01 3.976894e+02 4.150281e+03 2.25901687 0.95914710 0.07057301
3.150542e+03 6.543170e+01 3.974860e+02 3.613460e+03 2.12831244 0.96186350 0.07168059
2.679970e+03 5.677346e+01 3.974245e+02 3.134168e+03 2.19133949 0.95733640 0.07015603
5.743192e+03 8.040633e+01 3.966732e+02 6.220271e+03 2.03245809 0.96752817 0.06924919
2.647747e+03 6.037662e+01 3.974356e+02 3.105560e+03 2.18390633 0.96210646 0.07086294
2.870857e+03 6.405714e+01 3.973608e+02 3.332275e+03 2.14322630 0.96212582 0.07102515
3.877001e+03 6.469782e+01 3.975784e+02 4.339277e+03 2.10353032 0.95732821 0.07186542
4.309506e+03 5.565099e+01 3.974222e+02 4.762579e+03 2.27086808 0.96555320 0.07012291
2.637113e+03 6.549775e+01 3.981069e+02 3.100717e+03 2.18985546 0.96972380 0.07414524
2.648579e+03 6.094873e+01 3.983209e+02 3.107849e+03 2.18613346 0.96252899 0.07404828
2.682402e+03 6.066709e+01 3.986344e+02 3.141704e+03 2.18302289 0.96143666 0.07507022
3.000093e+03 5.831580e+01 3.983558e+02 3.456764e+03 2.23588829 0.96487274 0.07394256
2.653006e+03 5.840129e+01 3.984892e+02 3.109896e+03 2.19351123 0.95940758 0.07427683
3.075790e+03 6.167769e+01 3.982912e+02 3.535759e+03 2.14683891 0.95834122 0.07406916
2.680839e+03 5.660644e+01 3.982761e+02 3.135721e+03 2.18673359 0.95575829 0.07318195
1.206781e+05 4.448392e+01 4.018593e+02 1.211245e+05 3.02068104 0.96921379 0.07449449
3.878844e+03 6.721350e+01 3.975474e+02 4.343605e+03 2.10143126 0.96043528 0.07220381
2.692449e+03 5.458132e+01 3.985541e+02 3.145585e+03 2.19347771 0.95296160 0.07374170
2.863265e+03 5.790504e+01 3.988635e+02 3.320033e+03 2.23384025 0.96359865 0.07541323
